|||||||B3LYP|B3LYP|B3LYP|PBE|PBE|PBE|PB86|PB87|PB88|M06|M07|M08
FileNumber|StandardSMILES|SMILES|InChI|literature|shortSMILES|NumberOfConformers|HOMOav|LUMOav|GAPav|HOMOav|LUMOav|GAPav|HOMOav|LUMOav|GAPav|HOMOav|LUMOav|GAPav
1|Cc1ccc(c2c3cc(c4ccc(c5sc(c6cccs6)c6cc(S(=O)(=O)C)sc56)s4)sc3c(c3ccc(C)s3)c3ccsc23)s1|Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6cccs6)c6cc(S(C)(=O)=O)sc65)s4)sc3c(-c3ccc(C)s3)c3ccsc32)s1|InChI=1S/C35H22O2S9/c1-17-6-8-23(40-17)29-19-12-14-39-32(19)30(24-9-7-18(2)41-24)20-15-27(43-33(20)29)22-10-11-26(42-22)35-34-21(16-28(44-34)46(3,36)37)31(45-35)25-5-4-13-38-25/h4-16H,1-3H3|10.1021/ar5000743,BOUZSMSNJFUUCG-UHFFFAOYSA-N,polymer,bulk,PC71BM,-5.04,-3.57,1.47,1.59,7.81,0.69,17.07,66.3|Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6cccs6)c6cc(S(C)(=O)=O)sc65)s4)sc3c(-c3ccc(C)s3)c3ccsc32)s1|18|-0.186833|-0.0987778|0.0880556|-0.196389|-0.0985|0.0978889|-0.170778|-0.118333|0.0524444|-0.227389|-0.0765|0.150889
2|CN1c2ccccc2C(=C2c3ccc(c4cccs4)cc3N(C)C2=O)C1=O|CN1c2ccccc2C(=C2c3ccc(-c4cccs4)cc3N(C)C2=O)C1=O|InChI=1S/C22H16N2O2S/c1-23-16-7-4-3-6-14(16)19(21(23)25)20-15-10-9-13(18-8-5-11-27-18)12-17(15)24(2)22(20)26/h3-12H,1-2H3/b20-19+|10.1039/C3PY01598J,PAPOKCOIPOLVSC-BNEIJSFPSA-N,polymer,bulk,PC71BM,nan,nan,nan,nan,3.0,0.89,5.4,63.0|CN1c2ccccc2C(=C2c3ccc(-c4cccs4)cc3N(C)C2=O)C1=O|8|-0.20325|-0.11325|0.09|-0.212375|-0.11225|0.100125|-0.183625|-0.13425|0.049375|-0.2455|-0.08925|0.15625
3|Cc1cc(c2cc3c4nsnc4c(c4cc(C)c(c5cccs5)s4)cc3c3nsnc23)sc1c1cccs1|Cc1cc(-c2cc3c4nsnc4c(-c4cc(C)c(-c5cccs5)s4)cc3c3nsnc32)sc1-c1cccs1|InChI=1S/C28H16N4S6/c1-13-9-21(35-27(13)19-5-3-7-33-19)17-11-15-16(23-25(17)31-37-29-23)12-18(26-24(15)30-38-32-26)22-10-14(2)28(36-22)20-6-4-8-34-20/h3-12H,1-2H3|10.1021/ja210687r,IKPPCQWOLGDYAQ-UHFFFAOYSA-N,polymer,bulk,PC61BM,-5.16,-3.77,1.39,1.54,6.3,0.76,12.0,69.0|Cc1cc(-c2cc3c4nsnc4c(-c4cc(C)c(-c5cccs5)s4)cc3c3nsnc32)sc1-c1cccs1|18|-0.188611|-0.114778|0.0738333|-0.197611|-0.115|0.0826111|-0.173278|-0.132889|0.0403889|-0.228333|-0.0939444|0.134389
4|Cn1c2ccccc2c2ccc(c3ccc(c4ccc(C5=C(c6ccccc6)C(=C(c6ccc(c7cccs7)s6)[Si]5(C)C)c5ccccc5)s4)s3)cc12|Cn1c2ccccc2c2ccc(-c3ccc(-c4ccc(C5=C(c6ccccc6)C(c6ccccc6)=C(c6ccc(-c7cccs7)s6)[Si]5(C)C)s4)s3)cc21|InChI=1S/C47H35NS4Si/c1-48-35-18-11-10-17-33(35)34-21-20-32(29-36(34)48)37-22-23-40(50-37)41-25-27-43(52-41)47-45(31-15-8-5-9-16-31)44(30-13-6-4-7-14-30)46(53(47,2)3)42-26-24-39(51-42)38-19-12-28-49-38/h4-29H,1-3H3|10.1021/ar900061z,LZAUYQACJPMHMN-UHFFFAOYSA-N,polymer,bulk,PC61BM,nan,nan,nan,2.0,1.51,0.75,4.68,44.5|Cn1c2ccccc2c2ccc(-c3ccc(-c4ccc(C5=C(c6ccccc6)C(c6ccccc6)=C(c6ccc(-c7cccs7)s6)[Si]5(C)C)s4)s3)cc21|15|-0.173267|-0.0910667|0.0822|-0.1822|-0.0902667|0.0919333|-0.158733|-0.111533|0.0472|-0.2134|-0.0679333|0.145467
5|Cc1cc(c2c3cc(c4cccs4)sc3c(c3cc(C)c(C)s3)c3cc(c4ccc(c5ccc6c(c5F)N(C)C(=O)C6=C5c6cccc(F)c6N(C)C5=O)s4)sc23)sc1C|Cc1cc(-c2c3cc(-c4cccs4)sc3c(-c3cc(C)c(C)s3)c3cc(-c4ccc(-c5ccc6c(c5F)N(C)C(=O)C6=C5c6cccc(F)c6N(C)C5=O)s4)sc32)sc1C|InChI=1S/C48H32F2N2O2S6/c1-21-17-36(56-23(21)3)38-28-19-34(32-11-8-16-55-32)59-45(28)39(37-18-22(2)24(4)57-37)29-20-35(60-46(29)38)33-15-14-31(58-33)25-12-13-27-41(48(54)52(6)44(27)42(25)50)40-26-9-7-10-30(49)43(26)51(5)47(40)53/h7-20H,1-6H3/b41-40+|10.1039/C3PY01598J,RJIQMHRLDYGXFS-HYXXFLLTSA-N,polymer,bulk,PC71BM,-5.64,-3.98,1.66,nan,5.7,0.9,10.16,62.0|Cc1cc(-c2c3cc(-c4cccs4)sc3c(-c3cc(C)c(C)s3)c3cc(-c4ccc(-c5ccc6c(c5F)N(C)C(=O)C6=C5c6cccc(F)c6N(C)C5=O)s4)sc32)sc1C|16|-0.186|-0.119438|0.0665625|-0.195062|-0.119188|0.075875|-0.170437|-0.136875|0.0335625|-0.22575|-0.0983125|0.127438
6|C#Cc1cc(OC)c(C#Cc2scc3nc(c4ccccc4)c(c4ccccc4)nc23)cc1OC|C#Cc1cc(OC)c(C#Cc2scc3nc(-c4ccccc4)c(-c4ccccc4)nc32)cc1OC|InChI=1S/C30H20N2O2S/c1-4-20-17-26(34-3)23(18-25(20)33-2)15-16-27-30-24(19-35-27)31-28(21-11-7-5-8-12-21)29(32-30)22-13-9-6-10-14-22/h1,5-14,17-19H,2-3H3|10.1021/ar900061z,YBMOZFSQSYNMDD-UHFFFAOYSA-N,polymer,bulk,PC61BM,-5.29,-3.36,1.93,1.57,1.34,0.7,4.45,43.0|C#Cc1cc(OC)c(C#Cc2scc3nc(-c4ccccc4)c(-c4ccccc4)nc32)cc1OC|12|-0.194|-0.1|0.094|-0.203|-0.099|0.104|-0.175333|-0.121583|0.05375|-0.236167|-0.075|0.161167
7|Cc1csc(c2ccc(c3cc(C)c(c4cc5c(s4)c(c4ccc(C)cc4)c4ccsc4c5c4ccc(C)cc4)s3)c3nsnc23)c1|Cc1csc(-c2ccc(-c3cc(C)c(-c4cc5c(s4)c(-c4ccc(C)cc4)c4ccsc4c5-c4ccc(C)cc4)s3)c3nsnc32)c1|InChI=1S/C40H28N2S5/c1-21-5-9-25(10-6-21)34-29-15-16-43-39(29)35(26-11-7-22(2)8-12-26)30-19-33(46-40(30)34)38-24(4)18-32(45-38)28-14-13-27(31-17-23(3)20-44-31)36-37(28)42-47-41-36/h5-20H,1-4H3|10.1021/ar5000743,ABJPWIKLYFSDQY-UHFFFAOYSA-N,polymer,bulk,PC71BM,-5.35,-3.34,2.01,1.7,8.07,0.88,12.94,70.9|Cc1csc(-c2ccc(-c3cc(C)c(-c4cc5c(s4)c(-c4ccc(C)cc4)c4ccsc4c5-c4ccc(C)cc4)s3)c3nsnc32)c1|10|-0.1845|-0.1051|0.0794|-0.1937|-0.1047|0.089|-0.1689|-0.125|0.0439|-0.2248|-0.082|0.1428
8|Cc1cc(c2cc(C)c(c3ccc(c4sc(c5nc(C)c(c6cccs6)s5)nc4C)s3)s2)sc1|CC1=CC(c2cc(C)c(-c3ccc(-c4sc(-c5nc(C)c(-c6cccs6)s5)nc4C)s3)s2)=S=C1|InChI=1S/C26H20N2S6/c1-13-10-20(30-12-13)21-11-14(2)22(32-21)18-7-8-19(31-18)24-16(4)28-26(34-24)25-27-15(3)23(33-25)17-6-5-9-29-17/h5-12H,1-4H3|10.1002/adma.201200721,SSOYCXLHUREIMW-UHFFFAOYSA-N,polymer,bulk,PC71BM,-5.2,-2.95,2.25,1.9,2.58,0.77,8.7,38.5|CC1=CC(c2cc(C)c(-c3ccc(-c4sc(-c5nc(C)c(-c6cccs6)s5)nc4C)s3)s2)=S=C1|15|-0.1836|-0.0919333|0.0916667|-0.192733|-0.0917333|0.101|-0.1678|-0.111867|0.0559333|-0.224267|-0.0680667|0.1562
9|Cn1c(=O)c2c(c3ccc(c4ccc(C(F)(F)F)cc4)s3)n(C)c(=O)c2c1c1ccc(c2ccc(C(F)(F)F)cc2)s1|CN1C(=O)C2=C(c3ccc(-c4ccc(C(F)(F)F)cc4)s3)N(C)C(=O)C2=C1c1ccc(-c2ccc(C(F)(F)F)cc2)s1|InChI=1S/C30H18F6N2O2S2/c1-37-25(21-13-11-19(41-21)15-3-7-17(8-4-15)29(31,32)33)23-24(27(37)39)26(38(2)28(23)40)22-14-12-20(42-22)16-5-9-18(10-6-16)30(34,35)36/h3-14H,1-2H3|10.1039/c1ee01544c,DHGNQNQFUASMGL-UHFFFAOYSA-N,molecule,bilayer,C60,-5.24,-3.5,1.74,1.77,0.3,0.48,1.91,35.0|CN1C(=O)C2=C(c3ccc(-c4ccc(C(F)(F)F)cc4)s3)N(C)C(=O)C2=C1c1ccc(-c2ccc(C(F)(F)F)cc2)s1|11|-0.194091|-0.118545|0.0755455|-0.203|-0.118091|0.0849091|-0.178545|-0.136727|0.0418182|-0.233|-0.0976364|0.135364
10|CC1(C)c2ccccc2c2ccc(N(c3ccc(c4ccc(c5ccc(C=CC=C(C#N)C(=O)O)s5)s4)cc3)c3ccc4c(c3)C(C)(C)c3ccccc43)cc12|CC1(C)c2ccccc2-c2ccc(N(c3ccc(-c4ccc(-c5ccc(C=CC=C(C#N)C(=O)O)s5)s4)cc3)c3ccc4c(c3)C(C)(C)c3ccccc3-4)cc21|InChI=1S/C50H38N2O2S2/c1-49(2)41-14-7-5-12-37(41)39-23-20-34(28-43(39)49)52(35-21-24-40-38-13-6-8-15-42(38)50(3,4)44(40)29-35)33-18-16-31(17-19-33)45-26-27-47(56-45)46-25-22-36(55-46)11-9-10-32(30-51)48(53)54/h5-29H,1-4H3,(H,53,54)/b11-9+,32-10-|10.1039/B908802D,AWLBICFKKKBAMJ-LIJKMXHMSA-N,molecule,DSSC,TiO2,nan,nan,nan,nan,4.78,0.64,10.52,70.0|CC1(C)c2ccccc2-c2ccc(N(c3ccc(-c4ccc(-c5ccc(C=CC=C(C#N)C(=O)O)s5)s4)cc3)c3ccc4c(c3)C(C)(C)c3ccccc3-4)cc21|9|-0.187889|-0.113889|0.074|-0.196222|-0.113111|0.0831111|-0.172556|-0.131889|0.0406667|-0.226778|-0.0916667|0.135111
11|C=Cc1ccc(N(c2ccccc2)c2ccc(c3ccc(C=C4SC(=S)N(CC(=O)O)C4=O)s3)cc2)cc1|C=Cc1ccc(N(c2ccccc2)c2ccc(-c3ccc(C=C4SC(=S)N(CC(=O)O)C4=O)s3)cc2)cc1|InChI=1S/C30H22N2O3S3/c1-2-20-8-12-23(13-9-20)32(22-6-4-3-5-7-22)24-14-10-21(11-15-24)26-17-16-25(37-26)18-27-29(35)31(19-28(33)34)30(36)38-27/h2-18H,1,19H2,(H,33,34)/b27-18+|10.1039/B908802D,AXIJZURGRNHHPJ-OVVQPSECSA-N,molecule,DSSC,TiO2,nan,nan,nan,nan,2.3,0.44,10.5,50.0|C=Cc1ccc(N(c2ccccc2)c2ccc(-c3ccc(C=C4SC(=S)N(CC(=O)O)C4=O)s3)cc2)cc1|15|-0.196|-0.105933|0.0900667|-0.205|-0.1052|0.0998|-0.179|-0.126067|0.0529333|-0.236|-0.0816|0.1544
12|N#CC(=Cc1ccc(c2ccc(c3ccc(N(c4ccccc4)c4ccccc4)cc3)s2)s1)C(=O)O|N#CC(=Cc1ccc(-c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)s2)s1)C(=O)O|InChI=1S/C30H20N2O2S2/c31-20-22(30(33)34)19-26-15-16-28(35-26)29-18-17-27(36-29)21-11-13-25(14-12-21)32(23-7-3-1-4-8-23)24-9-5-2-6-10-24/h1-19H,(H,33,34)/b22-19+|10.1021/jp801036s,AYFGFJMHBPOSIN-ZBJSNUHESA-N,molecule,DSSC,TiO2,nan,nan,nan,nan,6.15,0.63,16.0,63.0|N#CC(=Cc1ccc(-c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)s2)s1)C(=O)O|12|-0.195083|-0.1095|0.0855833|-0.203833|-0.108667|0.0951667|-0.178|-0.128583|0.0494167|-0.234917|-0.0861667|0.14875
13|Cc1cc[se]c1|Cc1cc[se]c1|InChI=1S/C5H6Se/c1-5-2-3-6-4-5/h2-4H,1H3|10.1039/b9py00325h,QOWHXTFXZSVAPI-UHFFFAOYSA-N,polymer,bulk,PC61BM,-4.8,-3.0,1.8,1.6,2.7,0.52,nan,nan|Cc1cc[se]c1|1|-0.23|-0.02|0.21|-0.24|-0.016|0.224|-0.204|-0.049|0.155|-0.279|0.015|0.294
14|Cc1nc(c2nc(C)c(c3ccc(c4sc5c6cc7c(cc6C(C)(C)c5c4)c4sccc4C7(C)C)s3)s2)sc1c1cccs1|Cc1nc(-c2nc(C)c(-c3ccc(C4=S=C5c6cc7c(cc6C(C)(C)C5=C4)-c4sccc4C7(C)C)s3)s2)sc1-c1cccs1|InChI=1S/C36H28N2S6/c1-17-29(26-8-7-12-39-26)43-33(37-17)34-38-18(2)30(44-34)27-10-9-25(41-27)28-16-24-32(42-28)20-15-22-19(14-23(20)36(24,5)6)31-21(11-13-40-31)35(22,3)4/h7-16H,1-6H3|10.1002/adma.201200721,WLGCRYXWYMLODI-UHFFFAOYSA-N,polymer,bulk,PC71BM,-5.26,-2.8,2.46,2.0,2.77,0.9,7.43,41.4|Cc1nc(-c2nc(C)c(-c3ccc(C4=S=C5c6cc7c(cc6C(C)(C)C5=C4)-c4sccc4C7(C)C)s3)s2)sc1-c1cccs1|15|-0.179933|-0.0928|0.0871333|-0.189|-0.0918|0.0972|-0.165|-0.111867|0.0531333|-0.2198|-0.0688667|0.150933
15|Cc1ccc(C2(c3ccc(C)cc3)c3ccsc3c3cc4c(cc23)c2sc(c3ccc(c5ccc(c6ccc(c7ccc(c8cccs8)s7)c7nsnc67)s5)s3)cc2C4(c2ccc(C)cc2)c2ccc(C)cc2)cc1|Cc1ccc(C2(c3ccc(C)cc3)c3ccsc3-c3cc4c(cc32)-c2sc(-c3ccc(-c5ccc(-c6ccc(-c7ccc(-c8cccs8)s7)c7nsnc76)s5)s3)cc2C4(c2ccc(C)cc2)c2ccc(C)cc2)cc1|InChI=1S/C66H44N2S7/c1-37-7-15-41(16-8-37)65(42-17-9-38(2)10-18-42)49-31-33-70-63(49)47-34-51-48(35-50(47)65)64-52(66(51,43-19-11-39(3)12-20-43)44-21-13-40(4)14-22-44)36-60(74-64)59-30-29-58(73-59)57-28-26-54(72-57)46-24-23-45(61-62(46)68-75-67-61)53-25-27-56(71-53)55-6-5-32-69-55/h5-36H,1-4H3|10.1021/ar900061z,QIEYQMXLTIZOAA-UHFFFAOYSA-N,polymer,bulk,PC61BM,-5.46,-3.56,1.9,1.76,3.87,0.84,8.7,53.0|Cc1ccc(C2(c3ccc(C)cc3)c3ccsc3-c3cc4c(cc32)-c2sc(-c3ccc(-c5ccc(-c6ccc(-c7ccc(-c8cccs8)s7)c7nsnc76)s5)s3)cc2C4(c2ccc(C)cc2)c2ccc(C)cc2)cc1|18|-0.176444|-0.107667|0.0687778|-0.185556|-0.107944|0.0776111|-0.162889|-0.126167|0.0367222|-0.215667|-0.0864444|0.129222
16|O=C1c2ccccc2C(=O)C1=Cc1ccc(c2ccc(N(c3ccc(c4ccc(C=Cc5cccs5)s4)cc3)c3ccc(c4ccc(C=Cc5cccs5)s4)cc3)cc2)s1|O=C1c2ccccc2C(=O)C1=Cc1ccc(-c2ccc(N(c3ccc(-c4ccc(C=Cc5cccs5)s4)cc3)c3ccc(-c4ccc(C=Cc5cccs5)s4)cc3)cc2)s1|InChI=1S/C52H33NO2S5/c54-51-45-7-1-2-8-46(45)52(55)47(51)33-44-27-30-50(60-44)36-13-19-39(20-14-36)53(37-15-9-34(10-16-37)48-28-25-42(58-48)23-21-40-5-3-31-56-40)38-17-11-35(12-18-38)49-29-26-43(59-49)24-22-41-6-4-32-57-41/h1-33H/b23-21+,24-22+|10.1021/ja058178e,BEFVHAFKWRAXAN-MBALSZOMSA-N,molecule,bulk,PC61BM,nan,nan,nan,nan,0.81,0.66,4.1,30.0|O=C1c2ccccc2C(=O)C1=Cc1ccc(-c2ccc(N(c3ccc(-c4ccc(C=Cc5cccs5)s4)cc3)c3ccc(-c4ccc(C=Cc5cccs5)s4)cc3)cc2)s1|18|-0.183167|-0.104722|0.0784444|-0.192|-0.103944|0.0880556|-0.168611|-0.125722|0.0428889|-0.222556|-0.0810556|0.1415
17|COc1cccc(c2nc3c(c4cccs4)ccc(c4ccc(c5cc6c(s5)c(c5ccc(C)s5)c5ccsc5c6c5ccc(C)s5)s4)c3nc2c2cccc(OC)c2)c1|COc1cccc(-c2nc3c(-c4cccs4)ccc(-c4ccc(-c5cc6c(s5)c(-c5ccc(C)s5)c5ccsc5c6-c5ccc(C)s5)s4)c3nc2-c2cccc(OC)c2)c1|InChI=1S/C50H34N2O2S6/c1-27-13-17-40(57-27)43-35-21-23-56-49(35)44(41-18-14-28(2)58-41)36-26-42(60-50(36)43)39-20-19-38(59-39)34-16-15-33(37-12-7-22-55-37)47-48(34)52-46(30-9-6-11-32(25-30)54-4)45(51-47)29-8-5-10-31(24-29)53-3/h5-26H,1-4H3|10.1021/ar5000743,SULPUKRJBHQFBE-UHFFFAOYSA-N,polymer,bulk,PC71BM,-5.12,-3.45,1.67,1.67,5.0,0.76,10.13,64.3|COc1cccc(-c2nc3c(-c4cccs4)ccc(-c4ccc(-c5cc6c(s5)c(-c5ccc(C)s5)c5ccsc5c6-c5ccc(C)s5)s4)c3nc2-c2cccc(OC)c2)c1|19|-0.184421|-0.0956842|0.0887368|-0.193895|-0.0951053|0.0987895|-0.168053|-0.117368|0.0506842|-0.225526|-0.0726316|0.152895
